Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
0a 01,System[0].Model Bank Assign[4].Model
0a 02,System[0].Model Bank Assign[4].Model
0a 03,System[0].Model Bank Assign[4].Model
0a 04,System[0].Model Bank Assign[4].Model
0a 05,System[0].Model Bank Assign[4].Model
0a 06,System[0].Model Bank Assign[4].Model
0a 07,System[0].Model Bank Assign[4].Model
0a 08,System[0].Model Bank Assign[4].Model
0a 09,System[0].Model Bank Assign[4].Category
0a 0a,System[0].Model Bank Assign[4].Category
0a 0b,System[0].Model Bank Assign[4].Category
0a 0c,System[0].Model Bank Assign[4].Category
0a 0d,System[0].Model Bank Assign[4].Category
0a 0e,System[0].Model Bank Assign[4].Category
0a 0f,System[0].Model Bank Assign[4].Category
0a 10,System[0].Model Bank Assign[4].Category
0a 11,System[0].Model Bank Assign[4].EXZ
0a 15,System[0].Model Bank Assign[4].EXZ
0a 19,System[0].Model Bank Assign[4].EXZ
0a 1d,System[0].Model Bank Assign[4].EXZ
0a 21,System[0].Model Bank Assign[4].EXZ
0a 25,System[0].Model Bank Assign[4].EXZ
0a 29,System[0].Model Bank Assign[4].EXZ
0a 2d,System[0].Model Bank Assign[4].EXZ
0b 00,System[0].Model Bank Assign[5].Attribute
0b 01,System[0].Model Bank Assign[5].Model
0b 02,System[0].Model Bank Assign[5].Model
0b 03,System[0].Model Bank Assign[5].Model
0b 04,System[0].Model Bank Assign[5].Model
0b 05,System[0].Model Bank Assign[5].Model
0b 06,System[0].Model Bank Assign[5].Model
0b 07,System[0].Model Bank Assign[5].Model
0b 08,System[0].Model Bank Assign[5].Model
0b 09,System[0].Model Bank Assign[5].Category
0b 0a,System[0].Model Bank Assign[5].Category
0b 0b,System[0].Model Bank Assign[5].Category
0b 0c,System[0].Model Bank Assign[5].Category
0b 0d,System[0].Model Bank Assign[5].Category
0b 0e,System[0].Model Bank Assign[5].Category
0b 0f,System[0].Model Bank Assign[5].Category
0b 10,System[0].Model Bank Assign[5].Category
0b 11,System[0].Model Bank Assign[5].EXZ
0b 15,System[0].Model Bank Assign[5].EXZ
0b 19,System[0].Model Bank Assign[5].EXZ
0b 1d,System[0].Model Bank Assign[5].EXZ
0b 21,System[0].Model Bank Assign[5].EXZ
0b 25,System[0].Model Bank Assign[5].EXZ
0b 29,System[0].Model Bank Assign[5].EXZ
0b 2d,System[0].Model Bank Assign[5].EXZ
0c 00,System[0].Model Bank Assign[6].Attribute
0c 01,System[0].Model Bank Assign[6].Model
0c 02,System[0].Model Bank Assign[6].Model
0c 03,System[0].Model Bank Assign[6].Model
0c 04,System[0].Model Bank Assign[6].Model
0c 05,System[0].Model Bank Assign[6].Model
0c 06,System[0].Model Bank Assign[6].Model
0c 07,System[0].Model Bank Assign[6].Model
0c 08,System[0].Model Bank Assign[6].Model
0c 09,System[0].Model Bank Assign[6].Category
0c 0a,System[0].Model Bank Assign[6].Category
0c 0b,System[0].Model Bank Assign[6].Category
0c 0c,System[0].Model Bank Assign[6].Category
0c 0d,System[0].Model Bank Assign[6].Category
0c 0e,System[0].Model Bank Assign[6].Category
0c 0f,System[0].Model Bank Assign[6].Category
0c 10,System[0].Model Bank Assign[6].Category
0c 11,System[0].Model Bank Assign[6].EXZ
0c 15,System[0].Model Bank Assign[6].EXZ
0c 19,System[0].Model Bank Assign[6].EXZ
0c 1d,System[0].Model Bank Assign[6].EXZ
0c 21,System[0].Model Bank Assign[6].EXZ
0c 25,System[0].Model Bank Assign[6].EXZ
0c 29,System[0].Model Bank Assign[6].EXZ
0c 2d,System[0].Model Bank Assign[6].EXZ
0d 00,System[0].Model Bank Assign[7].Attribute
0d 01,System[0].Model Bank Assign[7].Model
0d 02,System[0].Model Bank Assign[7].Model
0d 03,System[0].Model Bank Assign[7].Model
0d 04,System[0].Model Bank Assign[7].Model
0d 05,System[0].Model Bank Assign[7].Model
0d 06,System[0].Model Bank Assign[7].Model
0d 07,System[0].Model Bank Assign[7].Model
0d 08,System[0].Model Bank Assign[7].Model
0d 09,System[0].Model Bank Assign[7].Category
0d 0a,System[0].Model Bank Assign[7].Category
0d 0b,System[0].Model Bank Assign[7].Category
0d 0c,System[0].Model Bank Assign[7].Category
0d 0d,System[0].Model Bank Assign[7].Category
0d 0e,System[0].Model Bank Assign[7].Category
0d 0f,System[0].Model Bank Assign[7].Category
0d 10,System[0].Model Bank Assign[7].Category
0d 11,System[0].Model Bank Assign[7].EXZ
0d 15,System[0].Model Bank Assign[7].EXZ
