Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
0d 19,System[0].Model Bank Assign[7].EXZ
0d 1d,System[0].Model Bank Assign[7].EXZ
0d 21,System[0].Model Bank Assign[7].EXZ
0d 25,System[0].Model Bank Assign[7].EXZ
0d 29,System[0].Model Bank Assign[7].EXZ
0d 2d,System[0].Model Bank Assign[7].EXZ
0e 00,System[0].Model Bank Assign[8].Attribute
0e 01,System[0].Model Bank Assign[8].Model
0e 02,System[0].Model Bank Assign[8].Model
0e 03,System[0].Model Bank Assign[8].Model
0e 04,System[0].Model Bank Assign[8].Model
0e 05,System[0].Model Bank Assign[8].Model
0e 06,System[0].Model Bank Assign[8].Model
0e 07,System[0].Model Bank Assign[8].Model
0e 08,System[0].Model Bank Assign[8].Model
0e 09,System[0].Model Bank Assign[8].Category
0e 0a,System[0].Model Bank Assign[8].Category
0e 0b,System[0].Model Bank Assign[8].Category
0e 0c,System[0].Model Bank Assign[8].Category
0e 0d,System[0].Model Bank Assign[8].Category
0e 0e,System[0].Model Bank Assign[8].Category
0e 0f,System[0].Model Bank Assign[8].Category
0e 10,System[0].Model Bank Assign[8].Category
0e 11,System[0].Model Bank Assign[8].EXZ
0e 15,System[0].Model Bank Assign[8].EXZ
0e 19,System[0].Model Bank Assign[8].EXZ
0e 1d,System[0].Model Bank Assign[8].EXZ
0e 21,System[0].Model Bank Assign[8].EXZ
0e 25,System[0].Model Bank Assign[8].EXZ
0e 29,System[0].Model Bank Assign[8].EXZ
0e 2d,System[0].Model Bank Assign[8].EXZ
0f 00,System[0].Model Bank Assign[9].Attribute
0f 01,System[0].Model Bank Assign[9].Model
0f 02,System[0].Model Bank Assign[9].Model
0f 03,System[0].Model Bank Assign[9].Model
0f 04,System[0].Model Bank Assign[9].Model
0f 05,System[0].Model Bank Assign[9].Model
0f 06,System[0].Model Bank Assign[9].Model
0f 07,System[0].Model Bank Assign[9].Model
0f 08,System[0].Model Bank Assign[9].Model
0f 09,System[0].Model Bank Assign[9].Category
0f 0a,System[0].Model Bank Assign[9].Category
0f 0b,System[0].Model Bank Assign[9].Category
0f 0c,System[0].Model Bank Assign[9].Category
0f 0d,System[0].Model Bank Assign[9].Category
0f 0e,System[0].Model Bank Assign[9].Category
0f 0f,System[0].Model Bank Assign[9].Category
0f 10,System[0].Model Bank Assign[9].Category
0f 11,System[0].Model Bank Assign[9].EXZ
0f 15,System[0].Model Bank Assign[9].EXZ
0f 19,System[0].Model Bank Assign[9].EXZ
0f 1d,System[0].Model Bank Assign[9].EXZ
0f 21,System[0].Model Bank Assign[9].EXZ
0f 25,System[0].Model Bank Assign[9].EXZ
0f 29,System[0].Model Bank Assign[9].EXZ
0f 2d,System[0].Model Bank Assign[9].EXZ
10 00,System[0].Model Bank Assign[10].Attribute
10 01,System[0].Model Bank Assign[10].Model
10 02,System[0].Model Bank Assign[10].Model
10 03,System[0].Model Bank Assign[10].Model
10 04,System[0].Model Bank Assign[10].Model
10 05,System[0].Model Bank Assign[10].Model
10 06,System[0].Model Bank Assign[10].Model
10 07,System[0].Model Bank Assign[10].Model
10 08,System[0].Model Bank Assign[10].Model
10 09,System[0].Model Bank Assign[10].Category
10 0a,System[0].Model Bank Assign[10].Category
10 0b,System[0].Model Bank Assign[10].Category
10 0c,System[0].Model Bank Assign[10].Category
10 0d,System[0].Model Bank Assign[10].Category
10 0e,System[0].Model Bank Assign[10].Category
10 0f,System[0].Model Bank Assign[10].Category
10 10,System[0].Model Bank Assign[10].Category
10 11,System[0].Model Bank Assign[10].EXZ
10 15,System[0].Model Bank Assign[10].EXZ
10 19,System[0].Model Bank Assign[10].EXZ
10 1d,System[0].Model Bank Assign[10].EXZ
10 21,System[0].Model Bank Assign[10].EXZ
10 25,System[0].Model Bank Assign[10].EXZ
10 29,System[0].Model Bank Assign[10].EXZ
10 2d,System[0].Model Bank Assign[10].EXZ
11 00,System[0].Model Bank Assign[11].Attribute
11 01,System[0].Model Bank Assign[11].Model
11 02,System[0].Model Bank Assign[11].Model
11 03,System[0].Model Bank Assign[11].Model
11 04,System[0].Model Bank Assign[11].Model
11 05,System[0].Model Bank Assign[11].Model
11 06,System[0].Model Bank Assign[11].Model
11 07,System[0].Model Bank Assign[11].Model
11 08,System[0].Model Bank Assign[11].Model
11 09,System[0].Model Bank Assign[11].Category
11 0a,System[0].Model Bank Assign[11].Category
11 0b,System[0].Model Bank Assign[11].Category
11 0c,System[0].Model Bank Assign[11].Category
11 0d,System[0].Model Bank Assign[11].Category
11 0e,System[0].Model Bank Assign[11].Category
11 0f,System[0].Model Bank Assign[11].Category
11 10,System[0].Model Bank Assign[11].Category
11 11,System[0].Model Bank Assign[11].EXZ
11 15,System[0].Model Bank Assign[11].EXZ
11 19,System[0].Model Bank Assign[11].EXZ
11 1d,System[0].Model Bank Assign[11].EXZ
11 21,System[0].Model Bank Assign[11].EXZ
11 25,System[0].Model Bank Assign[11].EXZ
11 29,System[0].Model Bank Assign[11].EXZ
11 2d,System[0].Model Bank Assign[11].EXZ
12 00,System[0].Model Bank Assign[12].Attribute
12 01,System[0].Model Bank Assign[12].Model
12 02,System[0].Model Bank Assign[12].Model
12 03,System[0].Model Bank Assign[12].Model
12 04,System[0].Model Bank Assign[12].Model
12 05,System[0].Model Bank Assign[12].Model
12 06,System[0].Model Bank Assign[12].Model
12 07,System[0].Model Bank Assign[12].Model
12 08,System[0].Model Bank Assign[12].Model
12 09,System[0].Model Bank Assign[12].Category
12 0a,System[0].Model Bank Assign[12].Category
12 0b,System[0].Model Bank Assign[12].Category
12 0c,System[0].Model Bank Assign[12].Category
12 0d,System[0].Model Bank Assign[12].Category
12 0e,System[0].Model Bank Assign[12].Category
12 0f,System[0].Model Bank Assign[12].Category
12 10,System[0].Model Bank Assign[12].Category
12 11,System[0].Model Bank Assign[12].EXZ
12 15,System[0].Model Bank Assign[12].EXZ
12 19,System[0].Model Bank Assign[12].EXZ
12 1d,System[0].Model Bank Assign[12].EXZ
12 21,System[0].Model Bank Assign[12].EXZ
12 25,System[0].Model Bank Assign[12].EXZ
12 29,System[0].Model Bank Assign[12].EXZ
12 2d,System[0].Model Bank Assign[12].EXZ
13 00,System[0].Model Bank Assign[13].Attribute
13 01,System[0].Model Bank Assign[13].Model
13 02,System[0].Model Bank Assign[13].Model
13 03,System[0].Model Bank Assign[13].Model
13 04,System[0].Model Bank Assign[13].Model
13 05,System[0].Model Bank Assign[13].Model
13 06,System[0].Model Bank Assign[13].Model
13 07,System[0].Model Bank Assign[13].Model
13 08,System[0].Model Bank Assign[13].Model
13 09,System[0].Model Bank Assign[13].Category
13 0a,System[0].Model Bank Assign[13].Category
13 0b,System[0].Model Bank Assign[13].Category
13 0c,System[0].Model Bank Assign[13].Category
13 0d,System[0].Model Bank Assign[13].Category
13 0e,System[0].Model Bank Assign[13].Category
13 0f,System[0].Model Bank Assign[13].Category
13 10,System[0].Model Bank Assign[13].Category
13 11,System[0].Model Bank Assign[13].EXZ
13 15,System[0].Model Bank Assign[13].EXZ
13 19,System[0].Model Bank Assign[13].EXZ
13 1d,System[0].Model Bank Assign[13].EXZ
13 21,System[0].Model Bank Assign[13].EXZ
13 25,System[0].Model Bank Assign[13].EXZ
13 29,System[0].Model Bank Assign[13].EXZ
13 2d,System[0].Model Bank Assign[13].EXZ
14 00,System[0].Model Bank Assign[14].Attribute
14 01,System[0].Model Bank Assign[14].Model
14 02,System[0].Model Bank Assign[14].Model
14 03,System[0].Model Bank Assign[14].Model
14 04,System[0].Model Bank Assign[14].Model
14 05,System[0].Model Bank Assign[14].Model
14 06,System[0].Model Bank Assign[14].Model
14 07,System[0].Model Bank Assign[14].Model
14 08,System[0].Model Bank Assign[14].Model
14 09,System[0].Model Bank Assign[14].Category
14 0a,System[0].Model Bank Assign[14].Category
14 0b,System[0].Model Bank Assign[14].Category
14 0c,System[0].Model Bank Assign[14].Category
14 0d,System[0].Model Bank Assign[14].Category
14 0e,System[0].Model Bank Assign[14].Category
14 0f,System[0].Model Bank Assign[14].Category
14 10,System[0].Model Bank Assign[14].Category
14 11,System[0].Model Bank Assign[14].EXZ
14 15,System[0].Model Bank Assign[14].EXZ
14 19,System[0].Model Bank Assign[14].EXZ
14 1d,System[0].Model Bank Assign[14].EXZ
14 21,System[0].Model Bank Assign[14].EXZ
14 25,System[0].Model Bank Assign[14].EXZ
14 29,System[0].Model Bank Assign[14].EXZ
14 2d,System[0].Model Bank Assign[14].EXZ
15 00,System[0].Model Bank Assign[15].Attribute
15 01,System[0].Model Bank Assign[15].Model
15 02,System[0].Model Bank Assign[15].Model
15 03,System[0].Model Bank Assign[15].Model
15 04,System[0].Model Bank Assign[15].Model
15 05,System[0].Model Bank Assign[15].Model
15 06,System[0].Model Bank Assign[15].Model
15 07,System[0].Model Bank Assign[15].Model
15 08,System[0].Model Bank Assign[15].Model
15 09,System[0].Model Bank Assign[15].Category
15 0a,System[0].Model Bank Assign[15].Category
15 0b,System[0].Model Bank Assign[15].Category
15 0c,System[0].Model Bank Assign[15].Category
15 0d,System[0].Model Bank Assign[15].Category
15 0e,System[0].Model Bank Assign[15].Category
15 0f,System[0].Model Bank Assign[15].Category
15 10,System[0].Model Bank Assign[15].Category
15 11,System[0].Model Bank Assign[15].EXZ
15 15,System[0].Model Bank Assign[15].EXZ
15 19,System[0].Model Bank Assign[15].EXZ
15 1d,System[0].Model Bank Assign[15].EXZ
15 21,System[0].Model Bank Assign[15].EXZ
15 25,System[0].Model Bank Assign[15].EXZ
15 29,System[0].Model Bank Assign[15].EXZ
15 2d,System[0].Model Bank Assign[15].EXZ
16 00,System[0].Model Bank Assign[16].Attribute
16 01,System[0].Model Bank Assign[16].Model
16 02,System[0].Model Bank Assign[16].Model
16 03,System[0].Model Bank Assign[16].Model
16 04,System[0].Model Bank Assign[16].Model
16 05,System[0].Model Bank Assign[16].Model
16 06,System[0].Model Bank Assign[16].Model
16 07,System[0].Model Bank Assign[16].Model
16 08,System[0].Model Bank Assign[16].Model
16 09,System[0].Model Bank Assign[16].Category
16 0a,System[0].Model Bank Assign[16].Category
16 0b,System[0].Model Bank Assign[16].Category
16 0c,System[0].Model Bank Assign[16].Category
16 0d,System[0].Model Bank Assign[16].Category
16 0e,System[0].Model Bank Assign[16].Category
16 0f,System[0].Model Bank Assign[16].Category
16 10,System[0].Model Bank Assign[16].Category
16 11,System[0].Model Bank Assign[16].EXZ
16 15,System[0].Model Bank Assign[16].EXZ
16 19,System[0].Model Bank Assign[16].EXZ
16 1d,System[0].Model Bank Assign[16].EXZ
16 21,System[0].Model Bank Assign[16].EXZ
16 25,System[0].Model Bank Assign[16].EXZ
16 29,System[0].Model Bank Assign[16].EXZ
16 2d,System[0].Model Bank Assign[16].EXZ
17 00,System[0].Button Color Set[1].Button Color(1)
17 01,System[0].Button Color Set[1].Button Color(2)
17 02,System[0].Button Color Set[1].Button Color(3)
17 03,System[0].Button Color Set[1].Button Color(4)
17 04,System[0].Button Color Set[1].Button Color(5)
17 05,System[0].Button Color Set[1].Button Color(6)
17 06,System[0].Button Color Set[1].Button Color(7)
17 07,System[0].Button Color Set[1].Button Color(8)
17 08,System[0].Button Color Set[1].Button Color(9)
17 09,System[0].Button Color Set[1].Button Color(10)
17 0a,System[0].Button Color Set[1].Button Color(11)
17 0b,System[0].Button Color Set[1].Button Color(12)
17 0c,System[0].Button Color Set[1].Button Color(13)
17 0d,System[0].Button Color Set[1].Button Color(14)
17 0e,System[0].Button Color Set[1].Button Color(15)
17 0f,System[0].Button Color Set[1].Button Color(16)
17 10,System[0].Button Color Set[1].Button Color(17)
17 11,System[0].Button Color Set[1].Button Color(18)
17 12,System[0].Button Color Set[1].Button Color(19)
17 13,System[0].Button Color Set[1].Button Color(20)
17 14,System[0].Button Color Set[1].Button Color(21)
17 15,System[0].Button Color Set[1].Button Color(22)
17 16,System[0].Button Color Set[1].Button Color(23)
17 17,System[0].Button Color Set[1].Button Color(24)
17 18,System[0].Button Color Set[1].Button Color(25)
17 19,System[0].Button Color Set[1].Button Color(26)
17 1a,System[0].Button Color Set[1].Button Color(27)
17 1b,System[0].Button Color Set[1].Button Color(28)
17 1c,System[0].Button Color Set[1].Button Color(29)
17 1d,System[0].Button Color Set[1].Button Color(30)
17 1e,System[0].Button Color Set[1].Button Color(31)
17 1f,System[0].Button Color Set[1].Button Color(32)
17 20,System[0].Button Color Set[1].Button Color(33)
17 21,System[0].Button Color Set[1].Button Color(34)
17 22,System[0].Button Color Set[1].Button Color(35)
17 23,System[0].Button Color Set[1].Button Color(36)
17 24,System[0].Button Color Set[1].Button Color(37)
17 25,System[0].Button Color Set[1].Button Color(38)
17 26,System[0].Button Color Set[1].Button Color(39)
17 27,System[0].Button Color Set[1].Button Color(40)
17 28,System[0].Button Color Set[1].Button Color(41)
17 29,System[0].Button Color Set[1].Button Color(42)
17 2a,System[0].Button Color Set[1].Button Color(43)
17 2b,System[0].Button Color Set[1].Button Color(44)
17 2c,System[0].Button Color Set[1].Button Color(45)
18 00,System[0].Button Color Set[2].Button Color(1)
18 01,System[0].Button Color Set[2].Button Color(2)
18 02,System[0].Button Color Set[2].Button Color(3)
18 03,System[0].Button Color Set[2].Button Color(4)
18 04,System[0].Button Color Set[2].Button Color(5)
18 05,System[0].Button Color Set[2].Button Color(6)
18 06,System[0].Button Color Set[2].Button Color(7)
18 07,System[0].Button Color Set[2].Button Color(8)
18 08,System[0].Button Color Set[2].Button Color(9)
18 09,System[0].Button Color Set[2].Button Color(10)
18 0a,System[0].Button Color Set[2].Button Color(11)
18 0b,System[0].Button Color Set[2].Button Color(12)
18 0c,System[0].Button Color Set[2].Button Color(13)
18 0d,System[0].Button Color Set[2].Button Color(14)
18 0e,System[0].Button Color Set[2].Button Color(15)
18 0f,System[0].Button Color Set[2].Button Color(16)
18 10,System[0].Button Color Set[2].Button Color(17)
18 11,System[0].Button Color Set[2].Button Color(18)
18 12,System[0].Button Color Set[2].Button Color(19)
18 13,System[0].Button Color Set[2].Button Color(20)
18 14,System[0].Button Color Set[2].Button Color(21)
18 15,System[0].Button Color Set[2].Button Color(22)
18 16,System[0].Button Color Set[2].Button Color(23)
18 17,System[0].Button Color Set[2].Button Color(24)
18 18,System[0].Button Color Set[2].Button Color(25)
18 19,System[0].Button Color Set[2].Button Color(26)
18 1a,System[0].Button Color Set[2].Button Color(27)
18 1b,System[0].Button Color Set[2].Button Color(28)
18 1c,System[0].Button Color Set[2].Button Color(29)
18 1d,System[0].Button Color Set[2].Button Color(30)
18 1e,System[0].Button Color Set[2].Button Color(31)
18 1f,System[0].Button Color Set[2].Button Color(32)
18 20,System[0].Button Color Set[2].Button Color(33)
18 21,System[0].Button Color Set[2].Button Color(34)
18 22,System[0].Button Color Set[2].Button Color(35)
18 23,System[0].Button Color Set[2].Button Color(36)
18 24,System[0].Button Color Set[2].Button Color(37)
18 25,System[0].Button Color Set[2].Button Color(38)
18 26,System[0].Button Color Set[2].Button Color(39)
18 27,System[0].Button Color Set[2].Button Color(40)
18 28,System[0].Button Color Set[2].Button Color(41)
18 29,System[0].Button Color Set[2].Button Color(42)
18 2a,System[0].Button Color Set[2].Button Color(43)
18 2b,System[0].Button Color Set[2].Button Color(44)
18 2c,System[0].Button Color Set[2].Button Color(45)
19 00,System[0].Button Color Set[3].Button Color(1)
19 01,System[0].Button Color Set[3].Button Color(2)
19 02,System[0].Button Color Set[3].Button Color(3)
19 03,System[0].Button Color Set[3].Button Color(4)
19 04,System[0].Button Color Set[3].Button Color(5)
19 05,System[0].Button Color Set[3].Button Color(6)
19 06,System[0].Button Color Set[3].Button Color(7)
19 07,System[0].Button Color Set[3].Button Color(8)
19 08,System[0].Button Color Set[3].Button Color(9)
19 09,System[0].Button Color Set[3].Button Color(10)
19 0a,System[0].Button Color Set[3].Button Color(11)
19 0b,System[0].Button Color Set[3].Button Color(12)
19 0c,System[0].Button Color Set[3].Button Color(13)
19 0d,System[0].Button Color Set[3].Button Color(14)
19 0e,System[0].Button Color Set[3].Button Color(15)
19 0f,System[0].Button Color Set[3].Button Color(16)
19 10,System[0].Button Color Set[3].Button Color(17)
19 11,System[0].Button Color Set[3].Button Color(18)
19 12,System[0].Button Color Set[3].Button Color(19)
19 13,System[0].Button Color Set[3].Button Color(20)
19 14,System[0].Button Color Set[3].Button Color(21)
19 15,System[0].Button Color Set[3].Button Color(22)
19 16,System[0].Button Color Set[3].Button Color(23)
19 17,System[0].Button Color Set[3].Button Color(24)
19 18,System[0].Button Color Set[3].Button Color(25)
19 19,System[0].Button Color Set[3].Button Color(26)
19 1a,System[0].Button Color Set[3].Button Color(27)
19 1b,System[0].Button Color Set[3].Button Color(28)
19 1c,System[0].Button Color Set[3].Button Color(29)
19 1d,System[0].Button Color Set[3].Button Color(30)
19 1e,System[0].Button Color Set[3].Button Color(31)
19 1f,System[0].Button Color Set[3].Button Color(32)
19 20,System[0].Button Color Set[3].Button Color(33)
19 21,System[0].Button Color Set[3].Button Color(34)
19 22,System[0].Button Color Set[3].Button Color(35)
19 23,System[0].Button Color Set[3].Button Color(36)
19 24,System[0].Button Color Set[3].Button Color(37)
19 25,System[0].Button Color Set[3].Button Color(38)
19 26,System[0].Button Color Set[3].Button Color(39)
19 27,System[0].Button Color Set[3].Button Color(40)
19 28,System[0].Button Color Set[3].Button Color(41)
19 29,System[0].Button Color Set[3].Button Color(42)
19 2a,System[0].Button Color Set[3].Button Color(43)
19 2b,System[0].Button Color Set[3].Button Color(44)
19 2c,System[0].Button Color Set[3].Button Color(45)
1a 00,System[0].Button Color Set[4].Button Color(1)
1a 01,System[0].Button Color Set[4].Button Color(2)
1a 02,System[0].Button Color Set[4].Button Color(3)
1a 03,System[0].Button Color Set[4].Button Color(4)
1a 04,System[0].Button Color Set[4].Button Color(5)
1a 05,System[0].Button Color Set[4].Button Color(6)
1a 06,System[0].Button Color Set[4].Button Color(7)
1a 07,System[0].Button Color Set[4].Button Color(8)
1a 08,System[0].Button Color Set[4].Button Color(9)
1a 09,System[0].Button Color Set[4].Button Color(10)
1a 0a,System[0].Button Color Set[4].Button Color(11)
1a 0b,System[0].Button Color Set[4].Button Color(12)
1a 0c,System[0].Button Color Set[4].Button Color(13)
1a 0d,System[0].Button Color Set[4].Button Color(14)
1a 0e,System[0].Button Color Set[4].Button Color(15)
1a 0f,System[0].Button Color Set[4].Button Color(16)
1a 10,System[0].Button Color Set[4].Button Color(17)
1a 11,System[0].Button Color Set[4].Button Color(18)
1a 12,System[0].Button Color Set[4].Button Color(19)
1a 13,System[0].Button Color Set[4].Button Color(20)
1a 14,System[0].Button Color Set[4].Button Color(21)
1a 15,System[0].Button Color Set[4].Button Color(22)
1a 16,System[0].Button Color Set[4].Button Color(23)
1a 17,System[0].Button Color Set[4].Button Color(24)
1a 18,System[0].Button Color Set[4].Button Color(25)
1a 19,System[0].Button Color Set[4].Button Color(26)
1a 1a,System[0].Button Color Set[4].Button Color(27)
1a 1b,System[0].Button Color Set[4].Button Color(28)
1a 1c,System[0].Button Color Set[4].Button Color(29)
1a 1d,System[0].Button Color Set[4].Button Color(30)
1a 1e,System[0].Button Color Set[4].Button Color(31)
1a 1f,System[0].Button Color Set[4].Button Color(32)
1a 20,System[0].Button Color Set[4].Button Color(33)
1a 21,System[0].Button Color Set[4].Button Color(34)
1a 22,System[0].Button Color Set[4].Button Color(35)
1a 23,System[0].Button Color Set[4].Button Color(36)
1a 24,System[0].Button Color Set[4].Button Color(37)
1a 25,System[0].Button Color Set[4].Button Color(38)
1a 26,System[0].Button Color Set[4].Button Color(39)
1a 27,System[0].Button Color Set[4].Button Color(40)
1a 28,System[0].Button Color Set[4].Button Color(41)
1a 29,System[0].Button Color Set[4].Button Color(42)
1a 2a,System[0].Button Color Set[4].Button Color(43)
1a 2b,System[0].Button Color Set[4].Button Color(44)
1a 2c,System[0].Button Color Set[4].Button Color(45)
1b 00,System[0].Button Color Set[5].Button Color(1)
1b 01,System[0].Button Color Set[5].Button Color(2)
1b 02,System[0].Button Color Set[5].Button Color(3)
1b 03,System[0].Button Color Set[5].Button Color(4)
1b 04,System[0].Button Color Set[5].Button Color(5)
1b 05,System[0].Button Color Set[5].Button Color(6)
1b 06,System[0].Button Color Set[5].Button Color(7)
1b 07,System[0].Button Color Set[5].Button Color(8)
1b 08,System[0].Button Color Set[5].Button Color(9)
1b 09,System[0].Button Color Set[5].Button Color(10)
1b 0a,System[0].Button Color Set[5].Button Color(11)
1b 0b,System[0].Button Color Set[5].Button Color(12)
1b 0c,System[0].Button Color Set[5].Button Color(13)
1b 0d,System[0].Button Color Set[5].Button Color(14)
1b 0e,System[0].Button Color Set[5].Button Color(15)
1b 0f,System[0].Button Color Set[5].Button Color(16)
1b 10,System[0].Button Color Set[5].Button Color(17)
1b 11,System[0].Button Color Set[5].Button Color(18)
1b 12,System[0].Button Color Set[5].Button Color(19)
1b 13,System[0].Button Color Set[5].Button Color(20)
1b 14,System[0].Button Color Set[5].Button Color(21)
1b 15,System[0].Button Color Set[5].Button Color(22)
1b 16,System[0].Button Color Set[5].Button Color(23)
1b 17,System[0].Button Color Set[5].Button Color(24)
1b 18,System[0].Button Color Set[5].Button Color(25)
1b 19,System[0].Button Color Set[5].Button Color(26)
1b 1a,System[0].Button Color Set[5].Button Color(27)
1b 1b,System[0].Button Color Set[5].Button Color(28)
1b 1c,System[0].Button Color Set[5].Button Color(29)
1b 1d,System[0].Button Color Set[5].Button Color(30)
1b 1e,System[0].Button Color Set[5].Button Color(31)
1b 1f,System[0].Button Color Set[5].Button Color(32)
1b 20,System[0].Button Color Set[5].Button Color(33)
1b 21,System[0].Button Color Set[5].Button Color(34)
1b 22,System[0].Button Color Set[5].Button Color(35)
1b 23,System[0].Button Color Set[5].Button Color(36)
1b 24,System[0].Button Color Set[5].Button Color(37)
1b 25,System[0].Button Color Set[5].Button Color(38)
1b 26,System[0].Button Color Set[5].Button Color(39)
1b 27,System[0].Button Color Set[5].Button Color(40)
1b 28,System[0].Button Color Set[5].Button Color(41)
1b 29,System[0].Button Color Set[5].Button Color(42)
1b 2a,System[0].Button Color Set[5].Button Color(43)
1b 2b,System[0].Button Color Set[5].Button Color(44)
1b 2c,System[0].Button Color Set[5].Button Color(45)
1c 00,System[0].Button Color Set[6].Button Color(1)
1c 01,System[0].Button Color Set[6].Button Color(2)
1c 02,System[0].Button Color Set[6].Button Color(3)
1c 03,System[0].Button Color Set[6].Button Color(4)
1c 04,System[0].Button Color Set[6].Button Color(5)
1c 05,System[0].Button Color Set[6].Button Color(6)
1c 06,System[0].Button Color Set[6].Button Color(7)
1c 07,System[0].Button Color Set[6].Button Color(8)
1c 08,System[0].Button Color Set[6].Button Color(9)
1c 09,System[0].Button Color Set[6].Button Color(10)
1c 0a,System[0].Button Color Set[6].Button Color(11)
1c 0b,System[0].Button Color Set[6].Button Color(12)
1c 0c,System[0].Button Color Set[6].Button Color(13)
1c 0d,System[0].Button Color Set[6].Button Color(14)
1c 0e,System[0].Button Color Set[6].Button Color(15)
1c 0f,System[0].Button Color Set[6].Button Color(16)
1c 10,System[0].Button Color Set[6].Button Color(17)
1c 11,System[0].Button Color Set[6].Button Color(18)
1c 12,System[0].Button Color Set[6].Button Color(19)
1c 13,System[0].Button Color Set[6].Button Color(20)
1c 14,System[0].Button Color Set[6].Button Color(21)
1c 15,System[0].Button Color Set[6].Button Color(22)
1c 16,System[0].Button Color Set[6].Button Color(23)
1c 17,System[0].Button Color Set[6].Button Color(24)
1c 18,System[0].Button Color Set[6].Button Color(25)
1c 19,System[0].Button Color Set[6].Button Color(26)
1c 1a,System[0].Button Color Set[6].Button Color(27)
1c 1b,System[0].Button Color Set[6].Button Color(28)
1c 1c,System[0].Button Color Set[6].Button Color(29)
1c 1d,System[0].Button Color Set[6].Button Color(30)
1c 1e,System[0].Button Color Set[6].Button Color(31)
1c 1f,System[0].Button Color Set[6].Button Color(32)
1c 20,System[0].Button Color Set[6].Button Color(33)
1c 21,System[0].Button Color Set[6].Button Color(34)
1c 22,System[0].Button Color Set[6].Button Color(35)
1c 23,System[0].Button Color Set[6].Button Color(36)
1c 24,System[0].Button Color Set[6].Button Color(37)
1c 25,System[0].Button Color Set[6].Button Color(38)
1c 26,System[0].Button Color Set[6].Button Color(39)
1c 27,System[0].Button Color Set[6].Button Color(40)
1c 28,System[0].Button Color Set[6].Button Color(41)
1c 29,System[0].Button Color Set[6].Button Color(42)
1c 2a,System[0].Button Color Set[6].Button Color(43)
1c 2b,System[0].Button Color Set[6].Button Color(44)
1c 2c,System[0].Button Color Set[6].Button Color(45)
1d 00,System[0].Button Color Set[7].Button Color(1)
1d 01,System[0].Button Color Set[7].Button Color(2)
1d 02,System[0].Button Color Set[7].Button Color(3)
1d 03,System[0].Button Color Set[7].Button Color(4)
1d 04,System[0].Button Color Set[7].Button Color(5)
1d 05,System[0].Button Color Set[7].Button Color(6)
1d 06,System[0].Button Color Set[7].Button Color(7)
1d 07,System[0].Button Color Set[7].Button Color(8)
1d 08,System[0].Button Color Set[7].Button Color(9)
1d 09,System[0].Button Color Set[7].Button Color(10)
1d 0a,System[0].Button Color Set[7].Button Color(11)
1d 0b,System[0].Button Color Set[7].Button Color(12)
1d 0c,System[0].Button Color Set[7].Button Color(13)
1d 0d,System[0].Button Color Set[7].Button Color(14)
1d 0e,System[0].Button Color Set[7].Button Color(15)
1d 0f,System[0].Button Color Set[7].Button Color(16)
1d 10,System[0].Button Color Set[7].Button Color(17)
1d 11,System[0].Button Color Set[7].Button Color(18)
1d 12,System[0].Button Color Set[7].Button Color(19)
1d 13,System[0].Button Color Set[7].Button Color(20)
1d 14,System[0].Button Color Set[7].Button Color(21)
1d 15,System[0].Button Color Set[7].Button Color(22)
1d 16,System[0].Button Color Set[7].Button Color(23)
1d 17,System[0].Button Color Set[7].Button Color(24)
1d 18,System[0].Button Color Set[7].Button Color(25)
1d 19,System[0].Button Color Set[7].Button Color(26)
1d 1a,System[0].Button Color Set[7].Button Color(27)
1d 1b,System[0].Button Color Set[7].Button Color(28)
1d 1c,System[0].Button Color Set[7].Button Color(29)
1d 1d,System[0].Button Color Set[7].Button Color(30)
1d 1e,System[0].Button Color Set[7].Button Color(31)
